BK, GASB , 39.654710, -122.715950, 1354, Alder Springs; CA; USA                  , 14,       2005-09-22 00:00:00,       3000-01-01 00:00:00
BK, HUMO , 42.607100, -122.956690,  554, Hull Mountain; OR; USA                  , 20,       2002-06-18 00:00:00,       3000-01-01 00:00:00
BK, JCC  , 40.817450, -124.029550,   27, Jacoby Creek; Bayside; CA; USA          , 28,       2001-04-11 21:27:00,       3000-01-01 00:00:00
BK, MIN  , 40.346010, -121.606560, 1470, Mt. Lassen Park Hdqts; Mineral; CA; USA , 10,       1993-03-19 19:46:00,       1999-12-08 18:10:00
BK, MOD  , 41.902460, -120.302950, 1554, Modoc Plateau; CA; USA                  , 40,       1999-10-16 00:00:00,       3000-01-01 00:00:00
BK, ORV  , 39.554510, -121.500360,  334, Oroville Dam; Oroville; CA; USA         , 14,       1992-07-31 18:50:00,       3000-01-01 00:00:00
BK, SHEP , 41.782600, -121.839300, 1391, Macdoel; CA; USA                        ,  4,       2016-12-21 01:17:00,       3000-01-01 00:00:00
BK, WDC  , 40.579880, -122.541130,  268, Whiskeytown Dam; Whiskeytown; CA; USA   , 14,       1992-09-17 19:23:00,       3000-01-01 00:00:00
BK, YBH  , 41.732040, -122.710390, 1059, Yreka Blue Horn Mine; Yreka; CA; USA    , 32,       1993-07-24 01:03:00,       3000-01-01 00:00:00
BU, BDID , 44.798330, -116.885000, 1400, Brownlee Dam;ID; USA                    ,  1,       1997-01-02 00:00:00,       1997-01-03 00:00:00
BU, HPO  , 45.472500, -116.648060, 2100, (BSU);OR; USA                           ,  1,       1991-11-28 00:00:00,       1991-11-29 00:00:00
BU, HPOR , 45.472580, -116.647720, 2102, (BSU);OR; USA                           ,  1,       1992-07-14 00:00:00,       1992-07-15 00:00:00
BU, LFI  , 47.386110, -115.791670, 1300, Lucky Friday Mine;ID; USA               ,  1,       1986-12-17 00:00:00,       1986-12-18 00:00:00
BU, LGO  , 45.216390, -118.000830, 1200, OR (BSU);OR; USA                        ,  1,       1991-11-28 00:00:00,       1991-11-29 00:00:00
BU, LGOR , 45.216390, -118.000830, 1200, La Grande;OR; USA                       ,  1,       1992-07-14 00:00:00,       1998-11-16 00:00:00
BU, LIME , 44.432750, -117.248420, 1500, OR (BSU);OR; USA                        ,  1,       1992-07-14 00:00:00,       1992-07-15 00:00:00
